Country,Active Users,Total Score,Ranked Score,Total Play Count,Performance
United States,401899,2.66B,502.47T,1.25B,1.63M
Russian Federation,366682,1.68B,254.83T,694.95M,1.41M
Japan,128426,569.92M,119.38T,929.54M,1.19M
Brazil,115898,554.06M,79.70T,687.71M,1.25M
France,99114,550.11M,101.20T,1.02B,1.22M
Germany,95265,703.99M,155.87T,1.64B,1.30M
Poland,92667,584.50M,108.38T,1.17B,1.33M
Philippines,79426,512.31M,73.63T,927.05M,1.15M
United Kingdom,71410,465.02M,90.93T,1.27B,1.29M
Canada,69011,537.25M,105.56T,1.53B,1.32M
Ukraine,63713,286.86M,40.43T,634.60M,1.06M
China,63501,220.86M,69.38T,1.09B,1.06M
Indonesia,60261,347.37M,62.86T,1.04B,1.11M
Mexico,58340,208.64M,29.01T,497.22M,1.00M
Taiwan,53238,300.56M,73.76T,1.39B,1.05M
Chile,48672,250.15M,37.75T,775.66M,1.11M
Vietnam,46883,208.59M,34.57T,737.28M,1.01M
Australia,44900,313.24M,59.29T,1.32B,1.25M
Thailand,43980,191.35M,30.76T,699.40M,1.04M
Argentina,43682,215.30M,33.09T,757.52M,1.06M
Türkiye,38889,131.12M,18.11T,465.76M,969.04K
Spain,36585,151.96M,23.50T,642.43M,1.02M
Malaysia,36264,231.42M,43.76T,1.21B,1.00M
South Korea,34339,210.06M,51.38T,1.50B,1.29M
Peru,32206,119.04M,15.28T,474.46M,868.04K
Italy,28906,163.40M,28.49T,985.69M,1.04M
Colombia,25692,81.07M,11.32T,440.58M,790.76K
Hong Kong,21040,144.15M,33.50T,1.59B,1.09M
Czechia,20474,97.66M,18.07T,882.67M,939.28K
Singapore,19248,164.92M,33.24T,1.73B,1.01M
Belarus,19162,85.76M,12.73T,664.49M,877.90K
Netherlands,18941,141.88M,32.12T,1.70B,1.04M
India,17904,61.46M,8.71T,486.24M,709.62K
Finland,16887,190.95M,42.05T,2.49B,1.13M
Kazakhstan,16404,87.01M,13.71T,835.59M,932.27K
Sweden,15219,143.90M,30.29T,1.99B,1.05M
Romania,14244,81.69M,14.53T,1.02B,949.21K
Hungary,13533,78.32M,14.06T,1.04B,913.49K
Portugal,12285,76.15M,13.00T,1.06B,904.40K
Belgium,12152,72.02M,15.15T,1.25B,872.72K
Austria,10148,76.82M,16.31T,1.61B,918.44K
Ecuador,10008,34.35M,4.08T,407.35M,601.04K
Venezuela,9680,34.69M,5.11T,527.79M,636.06K
Lithuania,8462,62.98M,14.27T,1.69B,917.40K
New Zealand,8411,62.80M,12.63T,1.50B,941.70K
Israel,8023,58.29M,9.62T,1.20B,908.27K
Norway,7959,86.30M,19.10T,2.40B,1.01M
Greece,7839,46.95M,7.96T,1.02B,827.81K
Switzerland,7293,45.29M,10.01T,1.37B,801.75K
Slovakia,6658,36.18M,6.84T,1.03B,797.58K
Saudi Arabia,6562,34.57M,4.86T,739.91M,711.79K
Denmark,6185,55.92M,12.26T,1.98B,913.91K
Latvia,6118,39.08M,7.24T,1.18B,790.06K
Bulgaria,6087,39.36M,6.69T,1.10B,802.39K
South Africa,5891,27.62M,4.77T,809.58M,656.79K
Estonia,5787,41.40M,8.01T,1.38B,837.25K
Egypt,4806,17.83M,2.65T,551.38M,600.06K
Serbia,4602,30.54M,5.35T,1.16B,753.83K
Costa Rica,4441,18.04M,2.17T,489.46M,500.78K
United Arab Emirates,4186,25.10M,3.59T,858.31M,733.27K
Ireland,4113,29.84M,5.43T,1.32B,764.60K
Morocco,3982,16.95M,2.37T,594.94M,560.70K
Uruguay,3824,20.91M,3.47T,907.26M,676.70K
Bolivia,3720,10.49M,1.18T,315.91M,401.58K
Guatemala,3255,10.11M,1.39T,426.67M,404.25K
Dominican Republic,3066,14.76M,2.38T,776.05M,551.52K
Moldova,3043,13.65M,2.00T,655.62M,539.80K
Algeria,2951,12.01M,1.61T,546.09M,488.16K
Croatia,2656,20.04M,3.82T,1.44B,686.23K
Panama,2492,12.40M,1.74T,699.01M,527.76K
Mongolia,2281,9.96M,1.77T,773.91M,519.88K
Tunisia,2185,10.20M,1.25T,572.65M,493.52K
Slovenia,2025,13.82M,3.43T,1.69B,623.91K
Pakistan,2015,8.74M,1.37T,677.42M,470.94K
Paraguay,1998,8.67M,1.24T,620.96M,448.28K
Bangladesh,1910,7.74M,937.72B,490.95M,397.80K
Myanmar,1901,6.08M,927.08B,487.68M,429.71K
El Salvador,1875,8.69M,1.10T,589.03M,398.08K
